keys,en,de
ENGLISH,English,Englisch
GERMAN,German,Deutsch
LANGUAGE,Language,Sprache
RESOLUTION,Resolution,Auflösung
WINDOW_MODE,Window Mode,Fenstermodus
ENABLE_PARTICLES,Enable Particles,Partikel aktivieren
OPTION_FULLSCREEN,Fullscreen,Vollbildschirm
OPTION_WINDOWED_BORDERLESS,Window borderless,randloses Fenster
OPTION_WINDOWED,Window,Fenster
SELECT_LEVEL,Select Level, Level auswählen
SETTINGS,Settings,Einstellungen
QUIT,Quit,Beenden
BACK,Back,Zurück
DEFEND YOUR BUBBLE BATH FROM AN INVASION!,Defend your bubble bath from an invasion!,Verteidige dein Blasen-Bad vor einer Invasion!
RIGHT CLICK TO LET A TOWER BUBBLE FLY.,Right click to let a tower bubble fly.,Rechtsklick um eine Turm-Blase fliegen zu lassen.
LEFT CLICK THE BUBBLE TO MAKE IT POP WHERE YOU WANT THE TOWER.,Left click the bubble to make it pop where you want the tower.,Linksklick auf eine Blase um sie platzen zu lassen wo du den Turm platzieren möchtest.
YOU DEFENDED YOUR BUBBLE BATH. NOW RELAX!,You defended you bubble bath. Now relax!,Du hast dein Blasen-Bad verteidigt. Zeit zu entspannen!
YOUR BUBBLE BATH WAS RUINED. RUINED! MUHAHA!,You bubble bath was ruined. RUINED! MUHAHAHA!,Dein Blasen-Bad wurde ruiniert. RUINIERT! MUHAHAHA!
ENABLE_TUTORIAL,Enable tutorial,Anleitung aktivieren
BUILD_TOWERS,Build more towers!,Bau mehr Türme!
%d POINT,%d Point,%d Punkt
%d POINTS,%d Points, %d Punkte
